set name,inst name,mask,exec_w,lsu_w,branch_w,mul_w,div_w,csr_w,rs1_valid_w,rs2_valid_w,rd_valid_w,wfi_w,fpu_w,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
rv_i,lui,-------------------------0110111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rv_i,auipc,-------------------------0010111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rv_i,jal,-------------------------1101111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
rv_i,jalr,-----------------000-----1100111,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,beq,-----------------000-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,bne,-----------------001-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,blt,-----------------100-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,bge,-----------------101-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,bltu,-----------------110-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,bgeu,-----------------111-----1100011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,lb,-----------------000-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,lh,-----------------001-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,lw,-----------------010-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,lbu,-----------------100-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,lhu,-----------------101-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,sb,-----------------000-----0100011,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,sh,-----------------001-----0100011,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,sw,-----------------010-----0100011,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
rv_i,addi,-----------------000-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,slti,-----------------010-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,sltiu,-----------------011-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,xori,-----------------100-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,ori,-----------------110-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,andi,-----------------111-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_i,add,0000000----------000-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,sub,0100000----------000-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,sll,0000000----------001-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,slt,0000000----------010-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,sltu,0000000----------011-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,xor,0000000----------100-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,srl,0000000----------101-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,sra,0100000----------101-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,or,0000000----------110-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,and,0000000----------111-----0110011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_i,fence,-----------------000-----0001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv_i,ecall,00000000000000000000000001110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv_i,ebreak,00000000000100000000000001110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv64_i,lwu,-----------------110-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,ld,-----------------011-----0000011,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,sd,-----------------011-----0100011,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
rv64_i,srli,000000-----------101-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,slli,000000-----------001-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,srai,010000-----------101-----0010011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,addiw,-----------------000-----0011011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,slliw,0000000----------001-----0011011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,srliw,0000000----------101-----0011011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,sraiw,0100000----------101-----0011011,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_i,subw,0100000----------000-----0111011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_i,addw,0000000----------000-----0111011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_i,sllw,0000000----------001-----0111011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_i,srlw,0000000----------101-----0111011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_i,sraw,0100000----------101-----0111011,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_m,mul,0000001----------000-----0110011,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
rv_m,mulh,0000001----------001-----0110011,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
rv_m,mulhsu,0000001----------010-----0110011,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
rv_m,mulhu,0000001----------011-----0110011,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
rv_m,div,0000001----------100-----0110011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
rv_m,divu,0000001----------101-----0110011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
