set name,inst name,mask,div_w,exec_W,lsu_w,branch_w,mul_w,csr_w,rs1_valid,rs2_valid,rd_valid,wfi_w,fpu_w,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
,flw,-----------------010-----0000111,,,,,,,1,0,0,,,0,0,0,1
,fmadd.s,-----00------------------1000011,,,,,,,0,0,0,,,1,1,1,1
,fsw,-----------------010-----0100111,,,,,,,1,0,0,,,0,1,0,0
,fmsub.s,-----00------------------1000111,,,,,,,0,0,0,,,1,1,1,1
,fnmsub.s,-----00------------------1001011,,,,,,,0,0,0,,,1,1,1,1
,fnmadd.s,-----00------------------1001111,,,,,,,0,0,0,,,1,1,1,1
,fadd.s,0000000------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fsub.s,0000100------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fmul.s,0001000------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fdiv.s,0001100------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fsqrt.s,010110000000-------------1010011,,,,,,,0,0,0,,,1,0,0,1
,fsgnj.s,0010000----------000-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fsgnjn.s,0010000----------001-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fsgnjx.s,0010000----------010-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fmin.s,0010100----------000-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fmax.s,0010100----------001-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fcvt.w.s,110000000000-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.wu.s,110000000001-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fmv.x.w,111000000000-----000-----1010011,,,,,,,0,0,1,,,1,0,0,0
,feq.s,1010000----------010-----1010011,,,,,,,0,0,1,,,1,1,0,0
,flt.s,1010000----------001-----1010011,,,,,,,0,0,1,,,1,1,0,0
,fle.s,1010000----------000-----1010011,,,,,,,0,0,1,,,1,1,0,0
,fclass.s,111000000000-----001-----1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.s.w,110100000000-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.s.wu,110100000001-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fmv.w.x,111100000000-----000-----1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.l.s,110000000010-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.lu.s,110000000011-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.s.l,110100000010-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.s.lu,110100000011-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fld,-----------------011-----0000111,,,,,,,1,0,0,,,0,0,0,1
,fsd,-----------------011-----0100111,,,,,,,1,0,0,,,0,1,0,0
,fmadd.d,-----01------------------1000011,,,,,,,0,0,0,,,1,1,1,1
,fmsub.d,-----01------------------1000111,,,,,,,0,0,0,,,1,1,1,1
,fnmsub.d,-----01------------------1001011,,,,,,,0,0,0,,,1,1,1,1
,fnmadd.d,-----01------------------1001111,,,,,,,0,0,0,,,1,1,1,1
,fadd.d,0000001------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fsub.d,0000101------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fmul.d,0001001------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fdiv.d,0001101------------------1010011,,,,,,,0,0,0,,,1,1,0,1
,fsqrt.d,010110100000-------------1010011,,,,,,,0,0,0,,,1,0,0,1
,fsgnj.d,0010001----------000-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fsgnjn.d,0010001----------001-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fsgnjx.d,0010001----------010-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fmin.d,0010101----------000-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fmax.d,0010101----------001-----1010011,,,,,,,0,0,0,,,1,1,0,1
,fcvt.s.d,010000000001-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.d.s,010000100000-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,feq.d,1010001----------010-----1010011,,,,,,,0,0,1,,,1,1,0,0
,flt.d,1010001----------001-----1010011,,,,,,,0,0,1,,,1,1,0,0
,fle.d,1010001----------000-----1010011,,,,,,,0,0,1,,,1,1,0,0
,fclass.d,111000100000-----001-----1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.w.d,110000100000-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.wu.d,110000100001-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.d.w,110100100000-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.d.wu,110100100001-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.l.d,110000100010-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.lu.d,110000100011-------------1010011,,,,,,,0,0,1,,,1,0,0,0
,fmv.x.d,111000100000-----000-----1010011,,,,,,,0,0,1,,,1,0,0,0
,fcvt.d.l,110100100010-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fcvt.d.lu,110100100011-------------1010011,,,,,,,1,0,0,,,0,0,0,1
,fmv.d.x,111100100000-----000-----1010011,,,,,,,0,0,0,,,1,0,0,1
