inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
lr.d,00010--00000-----011-----0101111,1,0,1
sc.d,00011------------011-----0101111,1,1,1
amoswap.d,00001------------011-----0101111,1,1,1
amoadd.d,00000------------011-----0101111,1,1,1
amoxor.d,00100------------011-----0101111,1,1,1
amoand.d,01100------------011-----0101111,1,1,1
amoor.d,01000------------011-----0101111,1,1,1
amomin.d,10000------------011-----0101111,1,1,1
amomax.d,10100------------011-----0101111,1,1,1
amominu.d,11000------------011-----0101111,1,1,1
amomaxu.d,11100------------011-----0101111,1,1,1
