inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
lwu,-----------------110-----0000011,1,0,1
ld,-----------------011-----0000011,1,0,1
sd,-----------------011-----0100011,1,1,0
slli,000000-----------001-----0010011,1,0,1
srli,000000-----------101-----0010011,1,0,1
srai,010000-----------101-----0010011,1,0,1
addiw,-----------------000-----0011011,1,0,1
slliw,0000000----------001-----0011011,1,0,1
srliw,0000000----------101-----0011011,1,0,1
sraiw,0100000----------101-----0011011,1,0,1
addw,0000000----------000-----0111011,1,1,1
subw,0100000----------000-----0111011,1,1,1
sllw,0000000----------001-----0111011,1,1,1
srlw,0000000----------101-----0111011,1,1,1
sraw,0100000----------101-----0111011,1,1,1
