inst name,mask,rs1_valid,rs2_valid,rd_valid,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
fld,-----------------011-----0000111,1,0,0,0,0,0,1
fsd,-----------------011-----0100111,1,0,0,0,1,0,0
fmadd.d,-----01------------------1000011,0,0,0,1,1,1,1
fmsub.d,-----01------------------1000111,0,0,0,1,1,1,1
fnmsub.d,-----01------------------1001011,0,0,0,1,1,1,1
fnmadd.d,-----01------------------1001111,0,0,0,1,1,1,1
fadd.d,0000001------------------1010011,0,0,0,1,1,0,1
fsub.d,0000101------------------1010011,0,0,0,1,1,0,1
fmul.d,0001001------------------1010011,0,0,0,1,1,0,1
fdiv.d,0001101------------------1010011,0,0,0,1,1,0,1
fsqrt.d,010110100000-------------1010011,0,0,0,1,0,0,1
fsgnj.d,0010001----------000-----1010011,0,0,0,1,1,0,1
fsgnjn.d,0010001----------001-----1010011,0,0,0,1,1,0,1
fsgnjx.d,0010001----------010-----1010011,0,0,0,1,1,0,1
fmin.d,0010101----------000-----1010011,0,0,0,1,1,0,1
fmax.d,0010101----------001-----1010011,0,0,0,1,1,0,1
fcvt.s.d,010000000001-------------1010011,1,0,0,0,0,0,1
fcvt.d.s,010000100000-------------1010011,1,0,0,0,0,0,1
feq.d,1010001----------010-----1010011,0,0,1,1,1,0,0
flt.d,1010001----------001-----1010011,0,0,1,1,1,0,0
fle.d,1010001----------000-----1010011,0,0,1,1,1,0,0
fclass.d,111000100000-----001-----1010011,0,0,1,1,0,0,0
fcvt.w.d,110000100000-------------1010011,0,0,1,1,0,0,0
fcvt.wu.d,110000100001-------------1010011,0,0,1,1,0,0,0
fcvt.d.w,110100100000-------------1010011,1,0,0,0,0,0,1
fcvt.d.wu,110100100001-------------1010011,1,0,0,0,0,0,1
