inst name,mask,rs1_valid,rs2_valid,rd_valid,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
flw,-----------------010-----0000111,1,0,0,0,0,0,1
fsw,-----------------010-----0100111,1,0,0,0,1,0,0
fmadd.s,-----00------------------1000011,0,0,0,1,1,1,1
fmsub.s,-----00------------------1000111,0,0,0,1,1,1,1
fnmsub.s,-----00------------------1001011,0,0,0,1,1,1,1
fnmadd.s,-----00------------------1001111,0,0,0,1,1,1,1
fadd.s,0000000------------------1010011,0,0,0,1,1,0,1
fsub.s,0000100------------------1010011,0,0,0,1,1,0,1
fmul.s,0001000------------------1010011,0,0,0,1,1,0,1
fdiv.s,0001100------------------1010011,0,0,0,1,1,0,1
fsqrt.s,010110000000-------------1010011,0,0,0,1,0,0,1
fsgnj.s,0010000----------000-----1010011,0,0,0,1,1,0,1
fsgnjn.s,0010000----------001-----1010011,0,0,0,1,1,0,1
fsgnjx.s,0010000----------010-----1010011,0,0,0,1,1,0,1
fmin.s,0010100----------000-----1010011,0,0,0,1,1,0,1
fmax.s,0010100----------001-----1010011,0,0,0,1,1,0,1
fcvt.w.s,110000000000-------------1010011,0,0,1,1,0,0,0
fcvt.wu.s,110000000001-------------1010011,0,0,1,1,0,0,0
fmv.x.w,111000000000-----000-----1010011,0,0,1,1,0,0,0
feq.s,1010000----------010-----1010011,0,0,1,1,1,0,0
flt.s,1010000----------001-----1010011,0,0,1,1,1,0,0
fle.s,1010000----------000-----1010011,0,0,1,1,1,0,0
fclass.s,111000000000-----001-----1010011,0,0,1,1,0,0,0
fcvt.s.w,110100000000-------------1010011,1,0,0,0,0,0,1
fcvt.s.wu,110100000001-------------1010011,1,0,0,0,0,0,1
fmv.w.x,111100000000-----000-----1010011,1,0,0,0,0,0,1
