inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
lui,-------------------------0110111,0,0,1
auipc,-------------------------0010111,0,0,1
jal,-------------------------1101111,0,0,1
jalr,-----------------000-----1100111,1,0,1
beq,-----------------000-----1100011,1,1,0
bne,-----------------001-----1100011,1,1,0
blt,-----------------100-----1100011,1,1,0
bge,-----------------101-----1100011,1,1,0
bltu,-----------------110-----1100011,1,1,0
bgeu,-----------------111-----1100011,1,1,0
lb,-----------------000-----0000011,1,0,1
lh,-----------------001-----0000011,1,0,1
lw,-----------------010-----0000011,1,0,1
lbu,-----------------100-----0000011,1,0,1
lhu,-----------------101-----0000011,1,0,1
sb,-----------------000-----0100011,1,1,0
sh,-----------------001-----0100011,1,1,0
sw,-----------------010-----0100011,1,1,0
addi,-----------------000-----0010011,1,0,1
slti,-----------------010-----0010011,1,0,1
sltiu,-----------------011-----0010011,1,0,1
xori,-----------------100-----0010011,1,0,1
ori,-----------------110-----0010011,1,0,1
andi,-----------------111-----0010011,1,0,1
add,0000000----------000-----0110011,1,1,1
sub,0100000----------000-----0110011,1,1,1
sll,0000000----------001-----0110011,1,1,1
slt,0000000----------010-----0110011,1,1,1
sltu,0000000----------011-----0110011,1,1,1
xor,0000000----------100-----0110011,1,1,1
srl,0000000----------101-----0110011,1,1,1
sra,0100000----------101-----0110011,1,1,1
or,0000000----------110-----0110011,1,1,1
and,0000000----------111-----0110011,1,1,1
fence,-----------------000-----0001111,1,0,1
ecall,00000000000000000000000001110011,0,0,0
ebreak,00000000000100000000000001110011,0,0,0
